,clean_reviews,class,stars
0,"Muy útil, solo que no puedo utilizarlo en mi nuevo celular, un huawei p40lite, si logro instalar la aplicación, pero no puedo usarla pues posee una dependencia de los servicios de google play EXISTE UNA SOLUCIÓN ?? Gracias",0,1
1,Muy buena. Solo una sugerencia: Si pueden agregar la línea que está adentro del puerto les agradecería.,2,5
2,faltan agregar las nuevas paradas del borro y las chapas están mal puestas o sea con calle equivocada,2,4
3,Sería bueno que se pueda agregar una sección donde consultar el saldo de tu tarjeta. Ahí sería 5/5,1,3
4,Que pasa que el 328 no aparece en la App y cuando aparece el horario queda estancado y no se actualiza????,0,1
5,"Excelente te da absolutamente todas las opciónes de trasbordos, cosa que la app oficial no hace. Descubrí formas re interesantes de moverme tomando bondis en paradas medio escondidas que ni sabía que existían, y están super cerca de mi origen o destino. Sin esta app habría caminado un montón sin saber todas las opciónes que hay. Te marca todos los trasbordos, es genial, porque si es de noche podés elegir uno un poco más largo pero trasbordando en una zona más segura. Genial todo.",2,5
6,"Ya no deja ver los horarios en determinadas paradas. Solo aparece salida y llegada. Leí en algún comentario anterior que respondieron que se toman los horarios de la Imm, pero en la Imm los horarios si figuran con algunas paradas. Ojalá puedan soluciónar esto ya que es muy útil saber la hora aproximadamente en que pasa en determinadas paradas. Gracias!",1,3
7,Funcióna bastante bien. Me gustaría sugerir que se pueda guardar una parada determinada desde el mapa en la vista de recorrido de una línea. Antes uno podía ver el número de parada en la misma pero ahora ya casi ninguna lo tiene visible porque están bandalizadas. Gracias,1,3
8,"Muy buena aunque en varias oportunidades no pasó el ómnibus y vinieron dos ómnibus juntos esperando hasta más de media hora líneas 145 526, principalmente cuando van con destino a Complejo América y los días sábados y domingos sucede más seguido La aplicación es buena, pero tamuy buenaién muchas veces van adelantados a su horario. Creo que se debería de controlar en forma sorpresiva sus horarios. Cómo tamuy buenaién en horas pico hay que viajar parado y hasta apretados, lo cual estamos sufriendo una pandemia",2,5
9,Me encanta la app pero hace un tiempo que solo me muestra en la planilla de horarios salida llegada y destino.... ninguna parada a lo largo del trayecto...Y eso no permite saber a qué hora pasaría por la parada más próxima a tu ubicación elegida pueden soluciónarlo?,1,3
10,"Los q se quejan q no aparecen los ómnibus en tiempo real sepan q es problema del gps del bus y no fallo de la app. Especialmente las cooperativas desactivan el gps a los buses y algunos servicios de cutcsa como 181/183 q pasan casi uno encima del otro puede q salga con precisión o no. A veces dice q esta a 1 o 2 minutos y ya pasó, es tema del gps de los ómnibus q no se actualiza seguido. Lo mismo con ucot si estas cerca de 8/10 y Castriz te marca un bus fuera de servicio y te clavas esperando...",2,5
11,"Puede y debe mejorar. (Cómo en la escuela) aún así, los bondis siguen pasando a la hora que quieren. Les chupa un huevo la geolocalización de la app. Yo me tomo 2 bondis para trabajar y es la única manera de saber a qué hora va a pasar uno y el otro.... Y siempre me toma hora y cuarto llegar a mi casa... Y eso que vivo de los límites de Montevideo... Les doy 2 estrellas por generoso que soy...",0,2
12,"Reviso la página de la imm y SI tiene los horarios en puntos medios. Incluso despliega un mapa de ser necesario, con horarios. O sea, esta app en este momento es DEFICIENTE. NO CUMPLE su cometido. Califico con UNA ESTRELLA y evalúo desinstalar si no corrige. Insto a usuarios a poner la mínima calificación, cuestionar y desinstalar posteriormente.",0,1
13,"Cada dia esta peor, no dan los horarios y cuando se hace la busqueda en una parada para ver proximidad de los ómnibus, queda buscando y buscando y no dá JAMAS esa información. Es una aplicación q ocupa lugar y no sirve para nada... ya estoy usando otra q si me da información real y acertada",0,1
14,"Se soluciónaron los problemas de horarios, Matungos respondió muy bien, para los que trabajamos contra reloj que estén bien los horarios es vital !! Gracias por soluciónarlos !! Esta App la usó todos los días y es súper práctica!!",2,5
15,Antes funciónaba mejor e indicaba horarios en puntos de control ( por ejemplo a que hora pasaban el 522 y el 409 por Agraciada y Gral Luna o Palacio de la Luz ). Pero hace días que únicamente indica horarios de salida desde origen y llegada a destino. Ojalá se corrija eso.,0,2
16,"Lejos está de funciónar como debería. Los horarios no coinciden ni por cerca, te cagan a mentiras con la información de ubicación al igual con lo que demoran los ómnibus , no es práctica porque al regresar muchas veces te saca para afuera. Un fiasco al 200%",0,1
17,"Una porquería comparada con la anterior, no me deja planificar el recorrido en ómnibus, solo me muestra horarios de destino y llegada pero no por paradas 👎🏻 deshabilitaron todas las buenas funciónes que tenía.",0,1
18,"Nefasta la app. Ómnibus que pasan y la aplicación nunca te los muestra, miles de veces quedé tirado en una parada por perder ómnibus por culpa de la app. Actualmente, buscando otras alternativas para camuy buenaiar de app y eliminarla.",0,1
19,"La uso siempre pero me di cuenta al mirar los horarios, solo me están mostrando los de salida y llegada, qué está pasando con la app, siempre funciónó bastante bien, pero esto así no sirve de nada.",0,2
20,La verdad que un desastre no aparece la hora y cuando aparece no pasa si voy al mapa tampoco aparecen en tiempo Real dice (sin próximas línea reitentar en unos segundo )y así te tiene 45 minuto,0,1
21,"La uso siempre. Desde las últimas actualizaciónes falla muchísimo en mostrarme horarios en tiempo real, que es para lo que más la uso. Pongo este puntaje hasta que arreglen eso porque realmente es útil la app pero no rota",0,2
22,"Excelente aplicación para obtener en el preciso momento de tu ubicación geográfica dentro de montevideo toda la información acerca de las paradas y las unidades de transporte público y el tiempo que demoren en llegar en la parada que se encuentre, mis felicitaciónes a los creadores",2,5
23,"Hola! La solución a qué no se pueden ver los horarios estando en una parada no la vi porque siguen sin aparecer. Y he llegado tarde a mi trabajo por perder los ómnibus, ya que no sé en que horario pasan.",0,2
24,"Le había puesto 3 estrellas en una reseña anterior pero el mismo día el desarrollador sacó una actualización que corrigió el error, 5 estrellas, una aplicación muy útil.",2,5
25,"El que entiende que no depende del desarrollador que a veces no funcióne el "" tiempo real"" realmente aprecia lo bien hecha que está esta aplicación. Los demás ponen una estrella y critican sin saber. La aplicación Como Ir que es de la intendencia, mas allá que te diga que ómnibus te sirven para ir a tal lugar, es engorrosa a la hora de buscar cuando pasa tu ómnibus. Y SI SE FIJAN, cuando el tiempo real falla en una tamuy buenaien falla en la otra. Es tema de los servidores, no del desarrollador.",2,5
26,"hay recorridos que no están actualizados. por ejemplo dice que el L41 va hasta el nuevo centro y eso no es así, hace como mucho que no esta y endo más. solo va hasta comercio.",2,4
