,texto,fechas,candidato,nombre_lugar
223,"En el comité estuvimos hablando con las juventudes frenteamplistas. Ella es Fiorella Buzeta, candidata a edila de Montevideo por que apoya las candidaturas de Álvaro Villar, Carolina Cosse y Daniel Martínez. #VotaFrenteAmplio 👇🏻🤜🏻🤛🏻 ",17,Cosse,"Montevideo, Uruguay"
530,Voto a pq a me Gusta al Senado Mujer con Ovarios 💪💪 ,17,Cosse,"Montevideo, Uruguay"
578,Acuérdense de ellos 👇 ,17,Cosse,"Montevideo, Uruguay"
938,Este ni sabe de lo que habla so. Todos burros ,17,Cosse,"Montevideo, Uruguay"
945,Tara tara tara ,17,Cosse,"Montevideo, Uruguay"
955,Mirá que decís pavadas eh? Como se nota que repetís como loro lo que escuchas. Poca capacidad de discernimiento ,17,Cosse,"Montevideo, Uruguay"
959,Uds. Son impresentables este país les queda grande. Espera al 27 de setiembre a tu Rafo. ,17,Cosse,"Montevideo, Uruguay"
960,Eso es lo que van a hacer seguro ,17,Cosse,"Montevideo, Uruguay"
1273,Lo dio? No vi informativo hoy. Calculo que no tuviste que imprimir! Genial lo tuyo!👏👏👏 ,17,Cosse,"Montevideo, Uruguay"
1498,Y los ni HUMANOS los SEGUIRÁS. Postergando ???? ,17,Cosse,"Montevideo, Uruguay"
1720,A si si justo !! Jajajj ,17,Cosse,"Montevideo, Uruguay"
1842,pregúntale por esto que es importante más que viene el verano y su combo explicarían como existe aún a pesar de 30 años de imm ,17,Cosse,"Montevideo, Uruguay"
1995,"Bueno , por lo menos aprendió de lo de Antel ",17,Cosse,"Canelones, Uruguay"
2235,"Fijate con esta fruta de que por unir STM, Camaras y semáforos se van a mover las paradas y los viajes serán más rápidos. 1- Los semáforos están todos des coordinados. 2- es la IM la que pone los horarios y recorridos de los ómnibus y por eso demoran tanto. ",17,Cosse,"Montevideo, Uruguay"
2249,"Uruguay no puede quedar preso del odio, ustedes administraron 15 años el país, se le pude cuentas, nada más. La Udelar pidió el Clinicas, el #AntelArena lo pidió #Cosse contra opinión de Astori y Tabare. Los colorados hicieron la torre de Antel gasto innecesario, son iguales ",17,Cosse,"Montevideo, Uruguay"
2638,"Si, avísame cuando despidieron a un empleado público por hacer cebo ",17,Cosse,"Montevideo, Uruguay"
2694,Existirá alguien que le crea? ,17,Cosse,"Montevideo, Uruguay"
3414,de verdad? ,17,Cosse,"Montevideo, Uruguay"
4579,,17,Cosse,"Montevideo, Uruguay"
4700,Dejemos que las saqueen los políticos nomas así se queda feliz ,17,Cosse,"Montevideo, Uruguay"
4735,,17,Cosse,"Montevideo, Uruguay"
4742,Ah y por saqueo de empresas públicas se refiere a los 800millones de Ancap? O los bancos del kuqui? ,17,Cosse,"Montevideo, Uruguay"
4882,Creo que quieren a Cosse para la IM ,17,Cosse,"San José, Uruguay"
4971,"El 08 de set te lo dije, y vos entusiasmando con mentiras s tu hincha, no te cansas de quedar pegado 👇https://t.co/WyACoQNdPZ ",17,Cosse,"Canelones, Uruguay"
4991,"Cumplo, esto pedía 👇 lo dije el 8/09 y di la pista , estaban funcionando? ",17,Cosse,"Canelones, Uruguay"
5039,"Si regalas chips y lo contas como serv nuevo, y después no se usa, eso es maquillar los números de serv nuevos, acá y en cualquier lado ",17,Cosse,"Canelones, Uruguay"
5168,A la Udelar no la para nadie!!!!!! Excelente noticia para difundir ,17,Cosse,"Maldonado, Uruguay"
5278,"Cosse, es globalista, como el resto de los políticos. Todos responden a organismos internacionales y siguen a rajatabla sus dictados. ",17,Cosse,"Montevideo, Uruguay"
5609,"Cla, pero hay que dejarlos , 5 años , quietos van a estar y no creo vuelvan. Ladrones ",17,Cosse,"Montevideo, Uruguay"
5777,"Si sabrá Cosse, que no ha renunciado a su puesto. ",17,Cosse,"Montevideo, Uruguay"
6247,No hacen paro ?tampoco Carolina Cosse? ,17,Cosse,"Canelones, Uruguay"
6282,Carolina Cosse tampoco se adhirió pues está dando entrevistas ,17,Cosse,"Canelones, Uruguay"
6315,Hoy hay paro y tu estas trabajando ,17,Cosse,"Canelones, Uruguay"
6381,Caaaarolina Carolina por mis pensamientos ,17,Cosse,"Montevideo, Uruguay"
6446,"#Cosse sobre gastos de #Antel en publicidad: ""Estoy orgullosa y no me arrepiento de nada"" Idem Gasto de #AntelArena Gasto de cocina Antel Arena Gasto de alquiler de oficinas propias Los Montevideanos si nos arrepentimos y votamos a #SiPodemos ",17,Cosse,"Montevideo, Uruguay"
6598,Fibra óptica? A todos los rincones? Func públicos? La fibra óptica no fue a todos los rincones y la hizo una empresa privada. #quetepasamireyna ,17,Cosse,"Canelones, Uruguay"
6754,Y así y todo la votan 🤔 ,17,Cosse,"Montevideo, Uruguay"
6770,Ya tengo la lista de Estoy manija ,17,Cosse,"Montevideo, Uruguay"
6845,"A la gente que vota a Raffo les pregunto: qué seguridad les da alguien que nunca tuvo cancha en un ente Estatal o algo que haya favorecido a las mayorías? De esto último, el claro ejemplo es Cosse cuando fortaleció a Antel en muchas áreas. Ahí ya tienen una GRAN diferencia ",17,Cosse,"Maldonado, Uruguay"
7678,Sobre ANTEL y los ataques reiterados e injustificados del #varon Lema hacia la gestión de Cosse a pocos días de la elección departamental. ,17,Cosse,"Montevideo, Uruguay"
8320,Cosse ,17,Cosse,"Montevideo, Uruguay"
9573,El tema es que no todos los maestros paran ,17,Cosse,"Montevideo, Uruguay"
9632,En cada oportunidad que Carolina Cosse Garrido habla de la izquierda me resulta indignante. No viene de la izquierda (que los periodistas de investigación indaguen) y sus acciones de despilfarro de los dineros de los contribuyentes declarando reservados los gastos la define. ,17,Cosse,"San José, Uruguay"
9958,"Y dale con Antel. Digas lo q digas a nosotros nos resbala. Arriba Carolina Cosse No son creibles ustedes, no te das cuenta? ",17,Cosse,"Montevideo, Uruguay"
10748,"Otra más del frente , antel activo chip para inflar su carteles de clientes que grande Cosse completo lo tuyo ",17,Cosse,"Montevideo, Uruguay"
11130,"De los creadores de #macritips, los #cossetips ",17,Cosse,"Montevideo, Uruguay"
11614,"A veces pienso ""no puedo creer""...a veces pienso..""otra más ""...y después me preparo para la siguiente...😰 ",17,Cosse,"Montevideo, Uruguay"
11641,Es un troll contratado ,17,Cosse,"Montevideo, Uruguay"
11772,"En el no le pasa eso. Veredas nuevecitas de paquete. Ya sabemos que votar el 27, no? La 949 y a Leticia Torres. Por más mujeres en lugares clave. intendenta. ",17,Cosse,"Montevideo, Uruguay"
11953,A RT X FAVOR CON TODO ,17,Cosse,"Canelones, Uruguay"
12036,Estou pensando seriamente em fazer um vídeo para o IGTV sobre quando a igreja me propôs uma terapia de libertação da homossexualidade... ,17,Cosse,"Montevideu, Uruguai"
12646,", , , , algun comentario? ",17,Cosse,"Montevideo, Uruguay"
13448,Y Caro Cosse nos vendió que habían miles de usuarios de ANTEL que no existen. ,17,Cosse,"Maldonado, Uruguay"
104,"Generaste tu popularidad a costa de dineros publicos, critican q usaste dineros de una empresa publica para beneficio de tu popularidad. Lo de la imagen de ANTEL no justifica el mal uso de recursos. Vos te recibiste de Ingeniera? ",18,Cosse,"Montevideo, Uruguay"
153,vieja de mietsa ,18,Cosse,"Montevideo, Uruguay"
1558,memoria ,18,Cosse,"Montevideo, Uruguay"
1576,desastre!!! ,18,Cosse,"Montevideo, Uruguay"
1604,Jjajaja 30 años y a nadie se le ocurre nada? ,18,Cosse,"Montevideo, Uruguay"
1712,"Cada “Cosse “ que hizo la izquierda, lo hizo a espaldas del pueblo , contratos presupuesto y licitaciones top secret , está gente no se dió cuenta que nos deben rendir cuenta de cada peso que entra y sale ,esta democracia necesita una ampliación que muestra lo que gasto CADA UNO ",18,Cosse,"Montevideo, Uruguay"
2537,Lo miismo que pasa con la cuenta de es lo que pasa con Cosse. ,18,Cosse,"Montevideo, Uruguay"
2679,Eso es meterse en campaña. ,18,Cosse,"Canelones, Uruguay"
2964,Carolina intendenta ,18,Cosse,"Montevideo, Uruguay"
3335,"Los q vivimos el era una ves con pincho Vazquez,el país de las maravillas con Cosse Carolina,la murga de Andrade,Marina y los 40 ladrones,Los Viajes de Toma,no hay mucho q reclamar o si? ",18,Cosse,Uruguay
3799,Todos sabemos que la elección por la es entre y #Municipales2020 ,18,Cosse,"Montevideo, Uruguay"
3866,💕 ,18,Cosse,"Montevideo, Uruguay"
5232,,18,Cosse,"Florida, Uruguay"
5580,Otros que andaban en ómnibus ,18,Cosse,"Montevideo, Uruguay"
5583,"Darle la IMM a Cosse, es como poner a un gato a cuidar una pescadería. ",18,Cosse,"Montevideo, Uruguay"
5665,Cuando la oposición dice que votar a Martínez o Villar es votar por Cosse ♥️💙🤍 ,18,Cosse,"Montevideo, Uruguay"
6215,"“ para mi se termina ahí."" dijo la candidata del Frente Amplio Carolina Cosse sobre los polémicos viajes pagos con dineros públicos del ex secretario del pte Tabaré y su secretaria (tv12) ",18,Cosse,"Montevideo, Uruguay"
7686,Sendic nos vació Ancap. Mujica nos remató Pluna. Vázquez nos clavó con el avión. Sendic nos volvió a clavar con el horno. Astori le compró un museo a la nena. Cosse desplifarró en Antel Arena. Vázquez armó el negocio Venezuela. Mujica nos clavó con Envidrio. ,18,Cosse,"Lavalleja, Uruguay"
7687,Cosse y Jara nos reclavaron con Gas Sayago. Mujica nos clavó con el puerto de aguas profundas. Vázquez nos clavó con el software de jr. Sendic y Vázquez nos clavaron con el petróleo. Mujica nos volvió a clavar con la regasificadora. Calculen cuántos millones van... ,18,Cosse,"Lavalleja, Uruguay"
8434,CFK (Cosse Fernández de Kirchner) será la nueva intendente de Montevideo!!!! Sépalo🤦🏻‍♂️ ,18,Cosse,"Montevideo, Uruguay"
8499,"📢 ¡Tremendo acto de cierre en Colón! ✊🏻 Nos acompañaron les candidates a la alcaldía del Municipio G y 💪🏻 También les candidates a la intendencia y 🔹 ¡Quedan los últimos días, a seguir militando! #SumateAJFAH ",18,Cosse,Plaza Don Francisco Vidiella (Plaza Colón)
8876,"Escuché a cosse y topolanski y hubiese sido mejor que no dijeran nada. La primera lo justificó xq había ganado(?) juicios 😱y la segunda le quitó trascendencia, así estaban de acostumbrados a malgastar el dinero de todos ",18,Cosse,"Montevideo, Uruguay"
9241,no le importa lo q hizo #Toma y la Contadora. Calro como no pagaba ella. Seguro que ahora los directores en su gestión van a poder contratar a quien quiera y van a ir a afirmando q iban al #Antelarena con los dineros de la IM y se los va a perdonar. ,18,Cosse,"Montevideo, Uruguay"
405,💪😔👍 ,19,Cosse,"Montevideo, Uruguay"
555,"El Antel Fest del 2014 fue revivir la atmósfera del viejo Pilsen Rock, el mejor festival musical que vio la ciudad. Gracias por invertir en recuerdos imborrables. En San José queremos la impronta del Frente Amplio con respecto a la cultura, la ciudad se lo merece. ",19,Cosse,"Montevideo, Uruguay"
870,candidato al mides ,19,Cosse,"Canelones, Uruguay"
1164,Hace décadas que no sube a un bondi esa garrapata zurda. ,19,Cosse,"Montevideo, Uruguay"
1575,👏👏👏 ,19,Cosse,"Montevideo, Uruguay"
1773,"Pero Mi Reina como que se terminó ahí, se va de “viaje “ lleva comitiva innecesaria, por decirlo de alguna forma. Y que encima la pagamos los URUGUAYOS, y tú dices se acabó AQUÍ 😂😂, hipocresía al igual que con ANTEL ARENA. ",19,Cosse,"Salto, Uruguay"
1796,Anoche acto de cierre de candidatura de en el municipio ch. Allí estuvimos con y su equipo 🔴🔵⚪🗳 ,19,Cosse,"Montevideo, Uruguay"
2908,Y si llega a ser Cosse ni imaginar por favor ,19,Cosse,"Canelones, Uruguay"
3420,Mañana nos vemos en #LegitimaDefensa junto a ☺️✌🏻 ,19,Cosse,"Montevideo, Uruguay"
